#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
A1BG	AHSG	9606.ENSP00000263100	9606.ENSP00000273784	0	0	0	0	0.100	0.067	0.400	0.736	0.849
A2M	AHSG	9606.ENSP00000323929	9606.ENSP00000273784	0	0	0	0	0.187	0	0	0.767	0.803
AAAS	AHCTF1	9606.ENSP00000209873	9606.ENSP00000355465	0	0	0	0	0.067	0.800	0	0.358	0.869
AACS	ACAT1	9606.ENSP00000324842	9606.ENSP00000265838	0.055	0	0	0	0.245	0	0.918	0.431	0.962
AACS	ACAT2	9606.ENSP00000324842	9606.ENSP00000356015	0.055	0	0	0	0.280	0	0.918	0.336	0.958
AADAT	AFMID	9606.ENSP00000423190	9606.ENSP00000328938	0	0	0	0	0.098	0	0.900	0.542	0.955
AAK1	ACE2	9606.ENSP00000386456	9606.ENSP00000389326	0	0	0	0	0	0	0	0.762	0.762
AAMP	AEN	9606.ENSP00000403343	9606.ENSP00000331944	0	0	0	0	0.049	0.782	0	0	0.783
AARS1	AARS2	9606.ENSP00000261772	9606.ENSP00000244571	0	0	0.079	0.921	0.049	0	0.900	0.102	0.910
AARS1	ADAT1	9606.ENSP00000261772	9606.ENSP00000310015	0	0	0	0	0.078	0	0	0.865	0.870
AARS1	AARSD1	9606.ENSP00000261772	9606.ENSP00000400870	0	0	0	0	0.060	0	0	0.876	0.878
AASDH	ACADM	9606.ENSP00000205214	9606.ENSP00000359871	0.061	0	0	0	0.056	0	0.312	0.586	0.714
AASDH	ACSF3	9606.ENSP00000205214	9606.ENSP00000479130	0.086	0	0	0.564	0.197	0.304	0.365	0.387	0.765
AASDH	ACSL6	9606.ENSP00000205214	9606.ENSP00000498260	0.091	0	0	0	0	0	0	0.768	0.780
AASDH	ACSL4	9606.ENSP00000205214	9606.ENSP00000339787	0.091	0	0	0	0	0	0	0.785	0.796
AASDH	ACSF2	9606.ENSP00000205214	9606.ENSP00000401831	0.086	0	0	0	0.197	0.304	0.365	0.521	0.816
AASDH	ACOX1	9606.ENSP00000205214	9606.ENSP00000293217	0.061	0	0	0	0.056	0	0.312	0.735	0.816
AASDH	ACOX3	9606.ENSP00000205214	9606.ENSP00000348775	0.061	0	0	0	0.074	0	0.312	0.772	0.846
AASDH	ACSL3	9606.ENSP00000205214	9606.ENSP00000350012	0.091	0	0	0	0.048	0	0	0.902	0.908
AASDH	ACSL5	9606.ENSP00000205214	9606.ENSP00000348429	0.091	0	0	0	0	0	0	0.906	0.911
AASDH	ACSL1	9606.ENSP00000205214	9606.ENSP00000422607	0.091	0	0	0	0	0	0	0.938	0.941
AASDH	AASDHPPT	9606.ENSP00000205214	9606.ENSP00000278618	0.231	0	0	0	0.182	0.332	0.793	0.826	0.982
AATF	ABT1	9606.ENSP00000477848	9606.ENSP00000274849	0	0	0	0	0.558	0.208	0	0.608	0.851
ABAT	AGXT2	9606.ENSP00000379845	9606.ENSP00000231420	0	0	0	0.584	0.209	0.109	0.900	0.236	0.939
ABAT	ACADS	9606.ENSP00000379845	9606.ENSP00000242592	0.042	0	0	0	0.071	0	0.800	0.092	0.816
ABAT	ACSS2	9606.ENSP00000379845	9606.ENSP00000253382	0	0	0	0	0.101	0	0.800	0.127	0.829
ABAT	ACOX1	9606.ENSP00000379845	9606.ENSP00000293217	0.042	0	0	0	0.133	0	0.800	0.182	0.846
ABAT	ACSS1	9606.ENSP00000379845	9606.ENSP00000316924	0	0	0	0	0.101	0	0.800	0.116	0.827
ABAT	ACOX3	9606.ENSP00000379845	9606.ENSP00000348775	0.042	0	0	0	0.071	0	0.800	0.189	0.836
ABAT	ACSS3	9606.ENSP00000379845	9606.ENSP00000449535	0	0	0	0	0.108	0	0.800	0.116	0.828
ABCA2	ABCB6	9606.ENSP00000344155	9606.ENSP00000265316	0	0	0	0.554	0.044	0.050	0.900	0.311	0.929
ABCA2	ABCG8	9606.ENSP00000344155	9606.ENSP00000272286	0	0	0	0.563	0.055	0	0.900	0.246	0.922
ABCA2	ABCB8	9606.ENSP00000344155	9606.ENSP00000297504	0	0	0	0.559	0.087	0.100	0.720	0.252	0.805
ABCA2	ABCC8	9606.ENSP00000344155	9606.ENSP00000494321	0	0	0	0	0.098	0.100	0.540	0.342	0.721
ABCA2	ABCG5	9606.ENSP00000344155	9606.ENSP00000384513	0	0	0	0.574	0.055	0	0.900	0.258	0.923
ABCA2	ABCD4	9606.ENSP00000344155	9606.ENSP00000349396	0	0	0	0	0.043	0.133	0.900	0.490	0.952
ABCA6	ABCA9	9606.ENSP00000284425	9606.ENSP00000342216	0	0	0.060	0.960	0.771	0.068	0	0.078	0.790
ABCB1	ABCF2	9606.ENSP00000478255	9606.ENSP00000222388	0.042	0	0	0	0.054	0.071	0	0.803	0.812
ABCB10	ABCB7	9606.ENSP00000355637	9606.ENSP00000253577	0	0	0	0.680	0.060	0.074	0.500	0.576	0.791
ABCB4	ABCC2	9606.ENSP00000265723	9606.ENSP00000497274	0	0	0	0.581	0.238	0.076	0	0.628	0.715
ABCB6	ABCB8	9606.ENSP00000265316	9606.ENSP00000297504	0	0	0	0.699	0.085	0.074	0.720	0.307	0.813
ABCB6	ABCG8	9606.ENSP00000265316	9606.ENSP00000272286	0	0	0	0.560	0	0.050	0.900	0.288	0.926
ABCB6	ABCG5	9606.ENSP00000265316	9606.ENSP00000384513	0	0	0	0.555	0.062	0.050	0.900	0.295	0.928
ABCB6	ABCD4	9606.ENSP00000265316	9606.ENSP00000349396	0.055	0	0	0.554	0.086	0	0.900	0.420	0.943
ABCB7	ACO1	9606.ENSP00000253577	9606.ENSP00000309477	0	0	0	0	0.060	0	0	0.869	0.871
ABCB8	ABCG8	9606.ENSP00000297504	9606.ENSP00000272286	0	0	0	0.552	0.068	0.100	0.720	0.211	0.790
ABCB8	ABCG5	9606.ENSP00000297504	9606.ENSP00000384513	0	0	0	0.553	0.067	0.100	0.720	0.252	0.800
ABCB8	ABCD4	9606.ENSP00000297504	9606.ENSP00000349396	0	0	0	0.558	0.094	0	0.720	0.282	0.802
ABCC1	ABCG2	9606.ENSP00000382342	9606.ENSP00000498246	0	0	0	0	0.057	0.100	0	0.968	0.971
ABCC2	ABCG2	9606.ENSP00000497274	9606.ENSP00000498246	0	0	0	0	0.087	0.100	0.800	0.889	0.979
ABCC6	AHSG	9606.ENSP00000205557	9606.ENSP00000273784	0	0	0	0	0.127	0.056	0	0.691	0.724
ABCC8	ABCC9	9606.ENSP00000494321	9606.ENSP00000261200	0	0	0.053	0.973	0	0.378	0.720	0.454	0.898
